date,open,high,low,close,volume
2013-07-08,138.2100,138.2100,138.1900,138.2000,3766900
2013-07-09,138.2100,138.2300,138.2100,138.2300,6541100
2013-07-10,138.2400,138.4900,138.2000,138.2400,15842600
2013-07-11,138.2500,138.2500,138.2200,138.2300,11274200
2013-07-12,138.2500,138.2600,138.2400,138.2400,8533400
2013-07-15,138.2800,138.2900,138.2700,138.2700,8399400
2013-07-16,138.2900,138.2900,138.2400,138.2500,4038600
2013-07-17,138.2600,138.2600,138.2400,138.2400,6754400
2013-07-18,138.2500,138.2600,138.2500,138.2600,7122100
2013-07-19,138.2800,138.2800,138.2700,138.2800,1927800
2013-07-22,138.3200,138.3200,138.2400,138.2400,7182900
2013-07-23,138.2500,138.2500,138.0100,138.2000,4238000
2013-07-24,138.2100,138.2100,138.1700,138.1700,7344700
2013-07-25,138.1800,138.2000,138.1800,138.2000,8783600
2013-07-26,138.2100,138.2100,138.1900,138.2100,2734000
2013-07-29,138.2500,138.3100,138.2400,138.3100,412200
2013-07-30,138.3200,138.3300,138.2400,138.3100,3113300
2013-07-31,138.3300,138.3300,138.3100,138.3200,4711700
2013-08-01,138.3300,138.3300,138.3300,138.3300,4249900
2013-08-02,138.3500,138.3500,138.3400,138.3400,5750800
2013-08-05,138.3800,138.3800,138.3700,138.3800,3820600
2013-08-06,138.3900,138.4100,138.3900,138.4100,3111800
2013-08-07,138.4200,138.4200,138.4100,138.4200,2283200
2013-08-08,138.4300,138.4300,138.3900,138.4000,15952900
2013-08-09,138.4100,138.4100,138.4000,138.4000,7214200
2013-08-12,138.4400,138.4400,138.4400,138.4400,2200500
2013-08-13,138.4500,138.4500,138.4400,138.4400,3304900
2013-08-14,138.4600,138.4700,138.4500,138.4600,1557100
2013-08-15,138.4700,138.4700,138.4500,138.4500,1509400
2013-08-16,138.4600,138.4700,138.4500,138.4600,3984000
2013-08-19,138.5000,138.5000,138.4900,138.5000,2594600
2013-08-20,138.5100,138.5100,138.5000,138.5000,2526900
2013-08-21,138.5100,138.5300,138.5100,138.5200,2784400
2013-08-22,138.5300,138.5500,138.5300,138.5400,619200
2013-08-23,138.5500,138.5600,138.3500,138.4700,1991600
2013-08-26,138.5100,138.5100,138.5000,138.5100,3188000
2013-08-27,138.5300,138.5500,138.5200,138.5500,1126300
2013-08-28,138.5600,138.6200,138.5600,138.6100,2316700
2013-08-29,138.6300,138.6300,138.6200,138.6200,730500
2013-08-30,138.6400,138.6500,138.6300,138.6500,1631700
2013-09-02,138.6900,138.6900,138.4800,138.5100,2228600
2013-09-03,138.5200,138.5200,138.4800,138.4800,2747700
2013-09-04,138.4900,138.5100,138.4800,138.5100,6696100
2013-09-05,138.5200,138.5400,138.5200,138.5200,3614200
2013-09-06,138.5400,138.5400,138.5200,138.5300,6605100
2013-09-09,138.5700,138.5700,138.5600,138.5700,7184000
2013-09-10,138.5800,138.5900,138.5000,138.5300,5725800
2013-09-11,138.5500,138.5500,138.4700,138.4700,3894200
2013-09-12,138.4900,138.5100,138.4900,138.4900,2322700
2013-09-13,138.5000,138.5000,138.4900,138.4900,6001100
2013-09-16,138.5300,138.5300,138.5200,138.5200,3089000
2013-09-17,138.5300,138.5300,138.4600,138.4700,8329900
2013-09-18,138.4900,138.4900,138.4800,138.4800,7520700
2013-09-23,138.5500,138.5600,138.5400,138.5500,11322300
2013-09-24,138.5600,138.5900,138.5600,138.5800,4922200
2013-09-25,138.5900,138.6100,138.5900,138.6000,5720900
2013-09-26,138.6200,138.6200,138.6100,138.6200,3478800
2013-09-27,138.6400,138.6400,138.6100,138.6200,2543500
2013-09-30,138.6600,138.6600,138.6200,138.6500,3891800
2013-10-08,138.7600,138.7600,138.7500,138.7500,1504200
2013-10-09,138.7600,138.7700,138.5100,138.7700,6921800
2013-10-10,138.7800,138.7800,138.7300,138.7300,3024800
2013-10-11,138.7400,138.8000,138.7400,138.7500,11839700
2013-10-14,138.7900,138.7900,138.7800,138.7900,4813000
2013-10-15,138.8000,138.8000,138.7900,138.7900,3982800
2013-10-16,138.8100,138.8700,138.8000,138.8700,3223000
2013-10-17,138.8900,138.8900,138.8600,138.8600,4451100
2013-10-18,138.8800,138.8800,138.8800,138.8800,1466800
2013-10-21,138.9200,138.9200,138.9200,138.9200,1831800
2013-10-22,138.9300,138.9300,138.9300,138.9300,889000
2013-10-23,138.9500,138.9500,138.9400,138.9400,1105600
2013-10-24,138.9600,138.9600,138.9500,138.9500,7571100
2013-10-25,138.9700,138.9700,138.9600,138.9700,1822300
2013-10-28,139.0100,139.0100,138.9200,138.9200,2998200
2013-10-29,138.9300,138.9300,138.7600,138.8900,4962200
2013-10-30,138.9000,138.9000,138.8600,138.8600,3759300
2013-10-31,138.8800,138.8800,138.8600,138.8700,2806200
2013-11-01,138.8800,138.9000,138.8800,138.8800,1884800
2013-11-04,138.9200,138.9200,138.9100,138.9100,1567600
2013-11-05,138.9300,138.9300,138.9300,138.9300,2029200
2013-11-06,138.9400,138.9700,138.9000,138.9700,1988500
2013-11-07,138.9800,138.9800,138.9600,138.9600,1921700
